race_no,result,horse_age,horse_sex,jockey_weight,jockey_name,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
7,5,3y,f,58,FATİH RÜSTEM BEBEK,1.16.56,6.8,15,4,0
7,6,3y,f,58,ARİF OKAN PAZAR,1.16.99,37.9,2,8,0
7,7,3y,f,58,NURETTİN ŞEN,1.17.47,27.4,2,7,0
7,8,3y,f,58,ONUR ÖZTÜRK,1.17.80,22.15,2,6,19
8,1,4y,m,54,MUSTAFA ÇİÇEK,1.26.33,2.85,35,1,80
8,2,7y,m,53,SERKAN YILDIZ,1.26.50,1.95,28,2,95
8,3,6y,m,55,ONUR ÖZTÜRK,1.26.73,6.0,13,4,86
8,4,4y,m,53,SADIK ALTAY,1.27.24,15.1,4,6,64
8,5,6y,m,55,VEDAT ABİŞ,1.27.25,6.75,14,3,74
8,6,4y,m,54,EMİRCAN AVŞAR,1.29.77,57.35,1,8,33
8,7,5y,m,55,ALİ YILDIZ,1.29.84,26.95,2,7,44
8,8,4y,m,55,HALEF KATI,Derecesiz,19.5,4,5,66
9,1,4y,m,55,SERKAN YILDIZ,1.40.47,7.55,7,7,42
9,2,4y,m,56,MUSTAFA ÇİÇEK,1.41.00,11.2,13,3,41
9,3,4y,m,60,VEDAT ABİŞ,1.41.06,3.6,19,1,49
9,4,4y,m,53,ERKAN TUNÇ,1.41.23,3.65,9,5,36
9,5,4y,m,54,UĞUR TEMUR,1.41.59,16.0,6,8,38
9,6,4y,m,54,VELAT DEMİR,1.42.23,9.45,8,6,38
9,7,4y,m,56,FATİH RÜSTEM BEBEK,1.42.55,14.95,11,4,41
9,8,4y,m,52,CEMAL PASO,1.42.85,15.6,4,9,36
9,9,4y,m,54,SADIK ALTAY,1.43.92,44.0,1,13,38
9,10,4y,m,53,İSA YILDIRIM,1.43.94,109.8,1,14,36
9,11,4y,f,50,EREN DURSUN ÖKTEN,1.44.30,37.4,2,12,34
9,12,4y,f,56,HALEF KATI,1.45.96,7.4,14,2,41
9,13,4y,f,52,GÖKHAN YILDIZ,1.46.44,30.25,2,11,33
9,14,4y,m,56,SİNAN ÖZEN,1.50.50,24.15,4,10,42
1,1,3y,f,56,NEVZAT AVCİ,1.26.89,22.65,5,7,0
1,2,3y,f,56,AYHAN KURŞUN,1.27.22,5.5,17,2,0
1,3,3y,m,58,HIŞMAN ÇİZİK,1.27.25,5.1,11,5,0
1,4,3y,f,56,AKIN SÖZEN,1.27.48,3.55,20,1,0
1,5,3y,m,58,AHMET ÇELİK,1.29.66,5.95,12,4,0
1,6,3y,m,58,VEDAT ABİŞ,1.30.71,4.5,16,3,0
1,7,3y,m,58,HAKAN YILDIZ,1.30.79,26.85,2,10,0
1,8,3y,m,58,MEHMET KAYA,1.31.19,11.9,10,6,0
1,9,3y,m,58,MERTCAN ÇELİK,1.31.83,17.2,3,8,0
1,10,3y,f,56,BERKANT GÖKÇE,Derecesiz,35.35,2,11,0
1,11,3y,f,56,MUSTAFA ÇİÇEK,Derecesiz,26.7,2,9,0
2,1,7y,m,56,MERTCAN ÇELİK,1.25.35,17.15,4,7,73
2,2,4y,m,55,NEVZAT AVCİ,1.25.47,13.45,6,5,63
2,3,5y,m,56,AKIN SÖZEN,1.25.75,4.4,14,3,60
2,4,6y,m,56,GÖRKEM ÖZÇELİK,1.25.80,9.45,11,4,84
2,5,4y,m,60,MÜCAHİT BAYIR,1.25.92,2.95,25,2,52
2,6,6y,m,56,MEHMET KAYA,1.25.94,14.85,4,8,68
2,7,8y,m,56,HIŞMAN ÇİZİK,1.26.16,2.95,29,1,88
2,8,5y,f,55,ALİ YILDIZ,1.26.42,13.3,5,6,67
2,9,4y,m,55,ERHAN AKTUĞ,1.26.45,27.2,2,9,45
2,10,4y,m,55,KAANCAN GÖKÇE,1.28.88,113.95,0,11,10
2,11,4y,m,55,ERAY ÇİZİK,1.29.52,125.35,0,10,0
3,1,3y,m,58,MUSTAFA ÇİÇEK,1.32.63,1.3,60,1,54
3,2,3y,m,60,VEDAT ABİŞ,1.33.04,3.85,18,3,57
3,3,3y,m,56,ERHAN AKTUĞ,1.33.10,4.1,20,2,50
3,4,3y,f,50,GÖKHAN BEKTAŞ,1.35.07,32.4,1,5,21
3,5,3y,f,50,HAKAN YILDIZ,1.35.66,26.1,1,4,27
4,1,3y,m,58,MERTCAN ÇELİK,1.27.50,5.0,14,3,0
4,2,3y,f,56,ALİ YILDIZ,1.27.69,25.65,2,8,0
4,3,3y,f,56,VEDAT ABİŞ,1.27.79,2.95,19,2,0
4,4,3y,m,58,MUSTAFA ÇİÇEK,1.28.17,9.3,11,6,0
4,5,3y,f,56,GÖRKEM ÖZÇELİK,1.29.09,6.65,14,4,0
4,6,3y,m,58,MEHMET KAYA,1.29.20,4.15,22,1,0
4,7,3y,m,58,AKIN SÖZEN,1.29.98,6.25,14,5,0
4,8,3y,f,56,HALİL KAPLAN,1.31.12,34.85,1,10,0
4,9,3y,m,58,ERAY ÇİZİK,1.31.42,22.4,2,7,0
4,10,3y,m,58,MURAT AKDAĞ,1.33.01,34.2,2,9,0
5,1,8y,m,59,ÖZCAN YILDIRIM,2.19.10,1.65,56,1,95
5,2,7y,m,56,HALİL KAPLAN,2.19.96,25.35,1,8,65
5,3,10y,m,59,NEVZAT AVCİ,2.20.02,4.3,19,2,94
5,4,6y,m,57,AKIN SÖZEN,2.20.52,7.25,5,4,68
5,5,8y,m,55,BERKANT GÖKÇE,2.20.98,17.5,3,5,74
5,6,5y,m,57,ALİ YILDIZ,2.23.13,16.1,1,9,45
5,7,9y,m,57,SADETTİN BOYRAZ,2.23.54,20.2,2,7,73
5,8,8y,m,56,TOLGA YILDIZ,2.24.61,8.45,9,3,92
5,9,6y,m,53,ENES BOZDAĞ,2.24.75,26.2,2,6,74
6,1,5y,m,56,ÖZCAN YILDIRIM,2.12.44,2.85,19,3,89
6,2,4y,m,55,AHMET ÇELİK,2.12.86,3.95,21,2,89
6,3,10y,m,56,AYHAN KURŞUN,2.12.95,6.75,11,5,96
6,4,6y,m,56,GÖRKEM ÖZÇELİK,2.13.35,3.4,28,1,91
6,5,5y,m,56,VEDAT ABİŞ,2.13.47,5.65,13,4,83
6,6,4y,m,54,HIŞMAN ÇİZİK,2.14.63,11.75,6,6,88
6,7,4y,m,54,NEVZAT AVCİ,2.20.37,28.3,2,7,71
7,1,3y,m,55,ALİ YILDIZ,2.08.10,8.45,11,5,39
7,2,3y,m,58,GÖRKEM ÖZÇELİK,2.08.16,2.9,20,3,45
7,3,3y,m,57,BERKANT GÖKÇE,2.08.97,2.85,23,1,60
7,4,3y,f,54,AYHAN KURŞUN,2.09.03,4.7,21,2,39
7,5,3y,f,53,ALİ KAÇMAZ,2.09.81,41.55,1,9,23
7,6,3y,f,53,ERAY ÇİZİK,2.09.98,13.2,4,6,35
7,7,3y,f,58,HIŞMAN ÇİZİK,2.12.00,6.35,16,4,50
7,8,3y,m,55,ERHAN AKTUĞ,2.12.44,37.25,2,7,24
7,9,3y,f,53,NEVZAT AVCİ,2.46.84,31.15,1,8,25
8,1,4y,f,57,VEDAT ABİŞ,2.23.26,1.95,37,1,54
8,2,7y,f,57,GÖRKEM ÖZÇELİK,2.23.34,10.15,7,5,64
8,3,4y,f,53,ERAY ÇİZİK,2.23.41,4.6,4,4,58
8,4,6y,f,58,KAANCAN GÖKÇE,2.23.65,5.45,20,2,63
8,5,9y,f,61,SADETTİN BOYRAZ,2.24.34,4.6,11,4,79
8,6,8y,f,57,BERKANT GÖKÇE,2.24.84,3.8,16,3,86
8,7,5y,f,61,AKIN SÖZEN,2.24.96,17.35,4,6,51
8,8,5y,f,53,RECEP KETME,2.27.47,69.6,1,7,13
9,1,3y,m,58,VEDAT ABİŞ,1.27.06,2.15,41,1,0
9,2,3y,m,58,MUSTAFA ÇİÇEK,1.27.79,10.1,7,5,0
9,3,3y,m,58,ÖZCAN YILDIRIM,1.28.09,5.2,14,2,0
9,4,3y,f,56,AHMET ÇELİK,1.28.11,6.05,11,4,0
9,5,3y,m,58,MEHMET KAYA,1.28.75,5.0,12,3,0
9,6,3y,m,58,ALİ YILDIZ,1.29.56,38.05,1,8,0
9,7,3y,f,56,AYHAN KURŞUN,1.31.57,10.55,5,6,0
9,8,3y,m,58,ERAY ÇİZİK,1.32.95,25.7,1,9,0
9,9,3y,m,58,HIŞMAN ÇİZİK,Derecesiz,16.4,3,7,0
1,1,4y,f,56,YUSUF CENGİZ,2.08.73,5.0,0,0,27
1,2,4y,f,56,BURAK BEKTAŞ,2.09.06,9.9,0,0,35
1,3,4y,m,55,FETHULLAH FELHAN,2.09.09,11.8,0,0,18
1,4,4y,m,55,YUNUS ÇELİKBAŞ,2.10.84,8.25,0,0,22
1,5,4y,m,58,MAHSUN TURAN,2.11.31,2.05,0,0,35
1,6,4y,m,58,HASAN ALTUNDAĞ,2.11.47,11.7,0,0,22
1,7,4y,m,56,EMRE AKKILIÇ,2.13.39,31.7,0,0,0
1,8,4y,m,58,REMZİ DOĞAN,2.16.36,87.85,0,0,16
1,9,4y,m,58,İSA KATAR,2.21.20,21.35,0,0,25
1,10,4y,m,58,NECMİ ALTIN,2.21.50,8.05,0,0,23
1,11,4y,f,54,İZETTİN GÜREKE,2.21.70,89.7,0,0,24
1,12,4y,m,58,MEHMET DOĞAN,2.23.59,11.8,0,0,16
1,13,4y,m,58,HÜSEYİN ALTUNKILIÇ,2.33.96,33.8,0,0,23
2,1,5y,m,57,AHMET HASAN BAYAR,2.23.27,2.2,0,0,84
2,2,7y,m,58,CUMALİ ARDA MAYDA,2.25.71,59.15,0,0,66
2,3,8y,m,57,FURKAN ÇETİN,2.27.13,4.2,0,0,82
2,4,5y,m,57,BURHAN SARIDAL,2.27.33,5.6,0,0,78
2,5,4y,m,54,LEVENT TAPTIK,2.27.35,6.9,0,0,65
2,6,7y,m,57,FETHULLAH FELHAN,2.27.85,16.9,0,0,75
2,7,9y,m,57,HÜSEYİN ŞANLI,2.27.96,20.55,0,0,75
2,8,5y,m,57,MEHMET ŞAKİR,2.28.18,9.7,0,0,71
2,9,7y,m,57,YUNUS ÇELİKBAŞ,2.28.74,6.9,0,0,62
2,10,4y,m,54,TOLGA YILMAZ,2.29.07,15.3,0,0,39
2,11,4y,m,54,MENNAN BAL,2.41.80,38.55,0,0,51
3,1,5y,m,60,HASAN ALTUNDAĞ,1.17.60,16.65,5,8,39
3,2,5y,m,62,ALİ ŞENBAHAR,1.18.02,7.55,12,3,45
3,3,4y,m,58,MAZLUM PİR DEMİR,1.18.74,38.0,2,12,38
3,4,5y,m,62,İSA AKYAVUZ,1.18.75,13.6,8,5,43
3,5,4y,m,57,NECMİ ALTIN,1.18.76,20.8,5,7,35
3,6,7y,m,57,MENDERES AVŞAR,1.18.96,2.5,22,1,34
3,7,4y,m,56,FETHULLAH FELHAN,1.19.04,12.45,8,6,37
3,8,4y,m,54,BURHAN SARIDAL,1.19.17,15.8,3,9,30
3,9,5y,m,59,FERİT YARDIMCI,1.19.18,11.35,9,4,37
3,10,7y,m,59,BURAK BEKTAŞ,1.19.45,24.25,2,13,37
3,11,6y,m,54,YUNUS ÇELİKBAŞ,1.20.21,4.45,16,2,32
3,12,4y,m,52,AHMET HASAN BAYAR,1.21.36,25.25,2,11,26
3,13,4y,m,53,MEHMET ŞAKİR,1.22.41,87.95,1,14,31
3,14,4y,m,57,YUSUF CENGİZ,1.22.97,19.45,3,10,36
4,1,4y,m,55,MEHMET ŞAKİR,2.05.52,38.75,2,12,0
4,2,4y,m,58,İSA AKYAVUZ,2.10.30,3.85,12,3,30
4,3,4y,m,55,FETHULLAH FELHAN,2.11.42,42.35,2,9,0
4,4,4y,f,56,NECMİ ALTIN,2.12.52,4.5,23,2,27
4,5,4y,f,54,AZİZ AKDEMİR,2.15.96,14.2,8,5,21
4,6,4y,f,56,FERİT YARDIMCI,2.20.92,2.95,24,1,24
4,7,4y,m,58,BURAK BEKTAŞ,2.22.00,11.2,3,6,13
4,8,4y,m,58,MENDERES AVŞAR,2.22.76,7.55,9,4,18
4,9,4y,m,58,YUSUF CENGİZ,2.25.54,33.5,2,11,12
4,10,4y,m,56,ABDULLAH ÇANKAYA,2.26.15,53.85,2,10,10
4,11,4y,m,54,İZETTİN GÜREKE,2.26.19,14.15,5,7,31
4,12,4y,m,54,MENNAN BAL,2.27.74,72.75,1,13,11
4,13,4y,f,56,HASAN ALTUNDAĞ,2.30.63,22.95,4,8,24
4,14,4y,m,56,EMRE AKKILIÇ,2.31.46,11.2,4,6,0
5,1,6y,m,57,AZİZ AKDEMİR,2.32.32,6.75,13,3,66
5,2,6y,m,59,YUSUF CENGİZ,2.33.00,7.3,7,7,60
5,3,6y,m,56,İSA AKYAVUZ,2.33.84,3.9,18,1,68
5,4,5y,m,56,İSA KATAR,2.35.99,33.85,1,13,36
5,5,6y,m,59,FERİT YARDIMCI,2.36.04,9.0,11,4,46
5,6,8y,m,55,LEVENT TAPTIK,2.36.21,6.9,10,5,44
5,7,5y,m,61,MEHMET DOĞAN,2.41.58,35.85,1,12,41
5,8,6y,m,54,MEHMET ŞAKİR,2.41.77,26.5,2,11,36
5,9,7y,m,59,MAHSUN TURAN,2.44.41,13.4,5,9,47
5,10,6y,m,56,HASAN ALTUNDAĞ,2.44.88,25.15,3,10,58
5,11,9y,m,59,ALİ ŞENBAHAR,2.45.20,13.1,8,6,59
5,12,5y,m,59,EMRE AKKILIÇ,2.46.50,6.3,13,2,57
5,13,8y,m,56,NECMİ ALTIN,2.48.07,15.25,6,8,74
5,14,7y,m,56,HÜSEYİN ALTUNKILIÇ,3.03.66,33.75,1,14,40
6,1,8y,m,56,İSA KATAR,1.40.04,7.05,6,4,80
6,2,7y,m,56,FERİT YARDIMCI,1.40.13,1.7,49,1,88
6,3,6y,m,56,NECMİ ALTIN,1.41.40,17.55,3,6,71
6,4,6y,m,54,AZİZ AKDEMİR,1.42.46,13.05,3,5,69
6,5,5y,m,56,MENDERES AVŞAR,1.42.84,25.25,2,7,71
6,6,8y,m,56,YUSUF CENGİZ,1.43.04,7.05,3,4,69
6,7,5y,m,56,MEHMET DOĞAN,1.45.72,7.0,4,3,67
6,8,7y,m,56,ALİ ŞENBAHAR,1.46.64,7.0,6,3,68
6,9,8y,m,56,İSA AKYAVUZ,1.50.83,3.4,25,2,87
7,1,3y,m,58,ALİ ŞENBAHAR,1.33.00,11.25,5,6,33
7,2,3y,f,57,MEHMET EMİN DOĞAN,1.33.38,44.25,1,14,29
7,3,3y,f,60,İSA KATAR,1.34.27,18.05,4,8,35
7,4,3y,m,58,HASAN ALTUNDAĞ,1.34.51,7.05,8,5,31
7,5,3y,m,57,AZİZ AKDEMİR,1.34.86,30.45,2,10,31
7,6,3y,f,59,ABDULLAH ÇANKAYA,1.35.03,10.75,10,3,35
7,7,3y,f,59,FERİT YARDIMCI,1.35.12,2.5,37,1,33
7,8,3y,f,59,MEHMET DOĞAN,1.35.65,31.4,2,11,33
7,9,3y,m,60,MEHMET ALİ AKTÜRK,1.37.00,8.2,9,4,35
7,10,3y,m,58,MENDERES AVŞAR,1.37.09,38.1,1,12,31
7,11,3y,f,58,NECMİ ALTIN,1.37.18,7.6,12,2,31
7,12,3y,f,57,İSA AKYAVUZ,1.37.56,11.2,5,7,30
7,13,3y,m,57,YUNUS ÇELİKBAŞ,1.38.07,12.35,4,9,33
7,14,3y,m,57,YUSUF CENGİZ,1.45.06,38.0,1,13,30
8,1,4y,f,59,AZİZ AKDEMİR,1.26.86,9.45,6,6,37
8,2,4y,f,55,MEHMET ŞAKİR,1.27.19,58.7,1,16,34
8,3,4y,f,58,İSA AKYAVUZ,1.28.06,4.7,17,3,34
8,4,4y,f,58,YUSUF CENGİZ,1.28.88,6.15,18,2,40
8,5,4y,f,58,SAMİ KAPLAN,1.29.08,14.85,3,10,35
8,6,4y,f,58,İSA KATAR,1.29.09,64.8,1,14,29
8,7,4y,f,61,MEHMET EMİN DOĞAN,1.29.30,10.4,8,4,43
8,8,4y,f,54,LEVENT TAPTIK,1.30.65,38.2,2,11,34
8,9,4y,f,54,MENNAN BAL,1.30.66,81.25,1,18,29
8,10,4y,f,58,NECMİ ALTIN,1.31.28,20.4,3,9,34
8,11,4y,f,60,REMZİ DOĞAN,1.32.00,44.75,1,15,29
8,12,4y,f,58,FERİT YARDIMCI,1.32.02,3.8,19,1,39
8,13,4y,f,57,FETHULLAH FELHAN,1.32.61,26.9,5,8,29
8,14,4y,f,58,MEHMET ALİ AKTÜRK,1.32.63,8.95,6,7,42
8,15,4y,f,59,ABDULLAH ÇANKAYA,1.34.03,13.8,6,5,35
8,16,4y,f,58,MENDERES AVŞAR,1.34.25,32.8,2,12,37
8,17,4y,f,56,İZETTİN GÜREKE,1.34.74,118.05,1,17,32
8,18,4y,f,55,YUNUS ÇELİKBAŞ,1.37.93,36.4,1,13,33
1,1,4y,m,57,MERT UYAR,1.22.98,3.0,22,1,49
1,2,4y,m,57,MERTCAN AKIN,1.23.97,4.95,17,3,47
1,3,4y,m,55,ERHAN AKTUĞ,1.24.24,7.75,7,6,39
1,4,4y,m,55,MUSTAFA ÇİÇEK,1.24.38,3.5,21,2,39
1,5,4y,m,59,ALİCAN İNCİ,1.24.88,7.05,13,4,47
1,6,4y,m,55,MUHARREM OK,1.24.89,10.65,5,7,42
1,7,4y,m,51,ALİBERK METİN,1.25.70,14.4,8,5,37
1,8,4y,f,53,İSMAİL DİNAR,1.26.01,34.5,2,9,36
1,9,4y,m,55,MÜRSEL KAYİŞ,1.26.18,33.55,3,8,40
1,10,4y,f,54,BEKİR MERT MIRIK,1.28.77,34.35,2,10,37
2,1,3y,m,58,BEKİR MERT MIRIK,1.45.02,2.7,19,1,0
2,2,3y,m,58,ALİ YILDIZ,1.45.70,8.75,10,5,35
2,3,3y,f,56,ÖZCAN YILDIRIM,1.45.76,6.65,18,2,35
2,4,3y,m,58,MUHAMMED MİR BİLGİN,1.46.28,6.1,10,6,0
2,5,3y,m,58,GÖKHAN GÖKÇE,1.48.25,5.7,15,4,37
2,6,3y,m,54,HÜSEYİN TURAN,1.48.32,32.45,3,8,23
2,7,3y,f,56,MERTCAN AKIN,1.48.44,39.55,1,10,28
2,8,3y,f,56,ERHAN AKTUĞ,1.49.26,32.1,1,9,28
2,9,3y,f,56,MUSTAFA ÇİÇEK,1.49.39,5.55,16,3,36
2,10,3y,m,58,NEVZAT AVCİ,1.52.21,11.4,6,7,0
2,11,3y,m,55,MÜRSEL KAYİŞ,1.53.37,89.95,1,11,18
3,1,4y,m,50,İSMAİL DİNAR,2.24.65,2.3,32,1,62
3,2,5y,m,58,HÜSEYİN ŞİMŞEK,2.25.12,6.0,12,5,72
3,3,7y,m,60,MÜRSEL KAYİŞ,2.25.27,4.55,14,4,81
3,4,6y,m,60,KAANCAN GÖKÇE,2.25.52,6.95,11,6,81
3,5,8y,m,60,İBRAHİM SEFA SÖĞÜT,2.26.09,7.05,16,2,82
3,6,4y,m,57,MUHAMMED MİR BİLGİN,2.30.59,4.25,15,3,77
4,1,5y,m,55,NEVZAT AVCİ,1.26.50,1.4,69,1,97
4,2,5y,m,55,ÖZCAN YILDIRIM,1.27.78,2.55,21,2,89
4,3,5y,m,55,MUSTAFA ÇİÇEK,1.29.68,4.05,10,3,75
5,1,3y,m,55,BEKİR MERT MIRIK,2.05.88,4.8,13,3,43
5,2,3y,m,56,MUHAMMED MİR BİLGİN,2.06.11,3.5,21,2,51
5,3,3y,m,58,AYHAN KURŞUN,2.07.46,1.25,64,1,65
5,4,3y,f,54,ALİ YILDIZ,2.14.40,20.2,2,4,50
5,5,3y,f,54,HÜSEYİN ŞİMŞEK,2.21.54,52.95,1,5,0
6,1,4y,m,58,İBRAHİM SEFA SÖĞÜT,1.42.70,7.55,7,4,63
6,2,4y,f,50,MERT UYAR,1.42.78,13.8,4,7,40
6,3,4y,m,50,SİNAN AKŞIN,1.42.96,51.5,1,14,38
6,4,4y,m,58,ERHAN AKTUĞ,1.42.97,20.15,2,9,57
6,5,4y,m,59,GÖKHAN GÖKÇE,1.43.31,2.85,20,1,59
6,6,4y,m,61,MUHAMMED MİR BİLGİN,1.43.93,10.0,9,3,63
6,7,4y,m,60,ÖZCAN YILDIRIM,1.44.31,3.3,20,2,61
6,8,4y,m,50,ALİBERK METİN,1.45.65,15.3,3,8,37
6,9,4y,m,57,ALİCAN İNCİ,1.45.79,13.2,5,6,55
6,10,6y,m,60,HÜSEYİN ŞİMŞEK,1.46.51,27.3,1,11,57
6,11,4y,m,61,BEKİR MERT MIRIK,1.46.58,40.0,2,10,63
6,12,4y,m,50,MUHARREM OK,1.47.03,47.85,1,13,37
6,13,6y,m,60,MÜRSEL KAYİŞ,1.48.89,13.3,5,5,60
6,14,5y,m,57,MERTCAN AKIN,Derecesiz,70.0,1,12,54
1,1,7y,f,54,MURAT KEÇECİ,2.12.14,14.25,3,6,66
1,2,7y,m,60,BERKANT GÖKÇE,2.12.49,2.75,32,1,89
1,3,6y,m,58,ENES BOZDAĞ,2.12.51,2.25,29,2,70
1,4,4y,m,55,MAHMUT BAĞ,2.12.60,30.45,2,7,60
1,5,8y,m,56,ERHAN AKKAYA,2.13.73,27.8,3,5,57
1,6,7y,m,56,EFE CAN ÖZMÜŞ,2.13.97,3.6,21,3,91
1,7,6y,f,54,ADEM CEYLAN,2.16.16,8.3,9,4,71
2,1,4y,m,58,MAHMUT TURAN,1.48.90,2.35,23,1,31
2,2,4y,m,56,ZÜLFÜKAR KARABULUT,1.48.99,5.05,16,3,30
2,3,4y,f,52,GÖKTAN KAYIP,1.49.17,22.15,6,7,34
2,4,4y,m,58,MEHMET KAYA,1.49.53,8.35,6,4,25
2,5,4y,m,61,AKIN SÖZEN,1.49.74,3.55,21,2,38
2,6,4y,m,54,ADEM CEYLAN,1.49.90,20.45,2,9,28
2,7,4y,m,55,EREN KADİRLER,1.51.87,17.55,3,8,0
2,8,4y,m,58,MAHMUT BAĞ,1.53.71,8.35,5,4,35
2,9,4y,f,53,AHMET EFEKAN ELMAS,1.54.02,149.55,1,10,0
2,10,4y,m,57,METİN MERT KARABULUT,1.54.84,14.1,7,6,40
2,11,4y,m,58,ERAY ÇİZİK,Derecesiz,11.25,9,5,37
3,1,3y,f,58,HIŞMAN ÇİZİK,1.35.30,1.95,46,1,55
3,2,3y,f,55,CEM ALTUN,1.35.42,4.2,16,3,49
3,3,3y,f,58,MEHMET KAYA,1.36.14,2.15,26,2,64
3,4,3y,f,56,GÖRKEM ÖZÇELİK,1.37.30,32.3,3,5,38
3,5,3y,f,58,MAHMUT TURAN,1.37.91,10.25,9,4,54
4,1,5y,m,62,ERAY ÇİZİK,1.14.96,10.4,13,5,55
4,2,4y,m,61,MUHAMMET ÖZDEMİR,1.15.07,5.85,19,1,59
4,3,4y,m,57,TOLGA YILDIZ,1.15.48,4.55,14,3,48
4,4,4y,m,52,MÜCAHİT BAYIR,1.15.49,3.35,15,2,37
4,5,4y,m,56,EFE CAN ÖZMÜŞ,1.15.72,23.95,4,8,46
4,6,5y,m,59,HALİL KAPLAN,1.16.52,6.35,11,6,49
4,7,4y,m,56,ENES BOZDAĞ,1.17.10,34.65,2,10,52
4,8,4y,f,50,GÖKTAN KAYIP,1.18.27,87.15,1,11,26
4,9,4y,f,51,HAKAN YILDIZ,1.18.69,5.1,14,4,36
4,10,4y,f,52,SELİM İPEK,1.18.86,37.35,2,9,38
4,11,4y,m,57,KADİR TOKAÇOĞLU,1.20.74,10.85,7,7,47
5,1,4y,m,58,HALİL KAPLAN,1.47.74,3.4,24,1,36
5,2,4y,m,54,ERHAN AKKAYA,1.47.99,20.55,5,7,0
5,3,4y,f,54,BERKANT GÖKÇE,1.48.00,9.45,11,5,34
5,4,4y,m,58,GÖRKEM ÖZÇELİK,1.48.75,3.1,21,2,35
5,5,4y,m,58,ONUR YILDIZ,1.49.07,4.4,14,3,33
5,6,4y,m,58,KADİR TOKAÇOĞLU,1.50.02,8.65,7,6,31
5,7,4y,f,56,MEHMET KAYA,1.51.36,8.65,12,4,30
5,8,4y,m,58,MAHMUT TURAN,1.52.93,17.3,3,8,21
5,9,4y,f,56,ERAY ÇİZİK,1.55.18,23.7,2,9,28
5,10,4y,m,54,MEHMET ALİ AKGÖBEK,1.57.40,105.6,1,10,12
5,11,4y,m,54,ÇAĞLAR TAŞCI,2.11.06,20.55,1,7,16
6,1,5y,m,56,TOLGA YILDIZ,2.23.44,1.7,65,1,93
6,2,5y,m,55,HIŞMAN ÇİZİK,2.24.23,2.35,19,2,86
6,3,8y,m,55,HALİL KAPLAN,2.24.68,12.35,5,3,85
6,4,5y,m,55,ONUR YILDIZ,2.25.37,19.0,2,7,70
6,5,5y,m,53,ALİ MEHDİ ALTIN,2.25.52,11.2,4,4,76
6,6,6y,f,53,ERAY ÇİZİK,2.25.82,22.6,2,6,65
6,7,8y,m,55,MAHMUT TURAN,2.36.02,16.45,2,5,55
6,8,9y,f,53,ADEM ASLAN,2.39.01,67.6,1,8,64
7,1,3y,f,58,ADEM ASLAN,1.29.33,3.0,32,1,43
7,2,3y,m,60,HIŞMAN ÇİZİK,1.29.78,2.8,28,2,46
7,3,3y,m,56,MUHAMMET ÖZDEMİR,1.30.77,7.35,14,3,43
7,4,3y,m,51,GÖKTAN KAYIP,1.31.15,16.85,2,8,32
7,5,3y,m,50,HAKAN YILDIZ,1.31.60,17.55,3,7,14
7,6,3y,m,51,YUNUS EMRE YÜKSEL,1.32.16,4.0,10,4,29
7,7,3y,m,54,ONUR YILDIZ,1.33.76,15.4,4,6,35
7,8,3y,f,56,OĞUZ EREN,1.34.16,11.95,6,5,39
8,1,4y,f,58,ONUR YILDIZ,1.22.96,3.05,29,1,53
8,2,4y,f,60,HIŞMAN ÇİZİK,1.23.26,5.75,9,4,53
8,3,4y,f,55,AKIN SÖZEN,1.23.38,2.55,29,2,45
8,4,4y,f,56,KADİR TOKAÇOĞLU,1.23.74,10.2,5,6,39
8,5,4y,f,57,BERKANT GÖKÇE,1.24.33,5.1,16,3,62
8,6,4y,f,52,ERHAN AKKAYA,1.24.90,42.7,1,7,33
8,7,4y,f,54,GÖKTAN KAYIP,1.24.97,61.55,1,8,38
8,8,4y,f,55,OĞUZ EREN,1.25.75,66.05,1,9,38
8,9,4y,f,58,MEHMET KAYA,1.25.81,11.1,8,5,40
8,10,4y,f,53,ALİ MEHDİ ALTIN,1.28.14,137.55,0,10,38
9,1,4y,m,57,HALİL KAPLAN,2.11.20,7.65,15,3,40
9,2,4y,m,56,MAHMUT TURAN,2.11.21,4.3,11,5,38
9,3,4y,m,57,MEHMET KAYA,2.11.90,4.7,15,2,40
9,4,4y,f,59,YUNUS EMRE YÜKSEL,2.11.99,5.15,13,4,45
9,5,4y,m,53,ALİ MEHDİ ALTIN,2.13.05,88.35,1,12,31
9,6,4y,f,55,BERKANT GÖKÇE,2.13.33,20.7,3,8,42
9,7,4y,m,57,ERAY ÇİZİK,2.13.35,37.1,2,11,40
9,8,4y,m,56,ONUR YILDIZ,2.13.47,15.9,6,7,37
9,9,4y,m,57,TOLGA YILDIZ,2.27.08,21.05,3,9,40
9,10,4y,m,59,GÖRKEM ÖZÇELİK,2.35.96,8.5,10,6,44
9,11,4y,m,56,SELİM İPEK,2.39.00,18.85,2,10,37
9,12,4y,m,59,ADEM ASLAN,2.46.48,5.0,19,1,44
1,1,6y,m,56,İBRAHİM SEFA SÖĞÜT,2.24.81,1.35,0,0,85
1,2,6y,m,60,MERTCAN ÇELİK,2.25.66,4.55,0,0,89
1,3,4y,m,58,ERHAN AKTUĞ,2.26.49,6.75,0,0,71
1,4,5y,m,55,MÜRSEL KAYİŞ,2.27.45,11.75,0,0,65
