race_no,result,horse_age,horse_sex,jockey_weight,jockey_name,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
2,5,4y,m,56,MEHMET KESKİN,2.04.89,13.6,7,6,69
2,6,6y,m,59,MUSTAFA KEMAL KUMBASAR,2.05.59,14.55,5,8,70
2,7,5y,m,60,FATİH SULTAN MEHMET SANSAR,2.07.05,41.0,2,9,78
2,8,4y,m,57,MERT ALİ SOLMAZ,2.07.27,9.2,10,5,71
2,9,4y,m,61,AYHAN KURŞUN,2.08.69,14.5,6,7,78
3,1,4y,f,54,MÜSLÜM ÇELİK,1.20.81,2.9,31,1,78
3,2,5y,f,55,HIŞMAN ÇİZİK,1.21.77,6.05,17,3,80
3,3,4y,f,54,MEHMET AKYAVUZ,1.21.97,5.7,15,4,77
3,4,5y,f,55,AHMET ÇELİK,1.22.15,4.9,8,6,70
3,5,4y,f,54,AYHAN KURŞUN,1.23.06,3.4,22,2,74
3,6,5y,f,55,MERT ALİ SOLMAZ,1.24.48,3.75,8,5,68
4,1,3y,f,54,AHMET ÇELİK,1.22.44,6.95,13,4,46
4,2,3y,f,54,AYHAN KURŞUN,1.22.59,6.15,24,2,62
4,3,3y,f,54,HIŞMAN ÇİZİK,1.22.63,8.45,21,3,50
4,4,3y,f,54,FATİH RÜSTEM BEBEK,1.23.03,1.15,29,1,65
4,5,3y,f,54,MÜSLÜM ÇELİK,1.23.10,6.75,13,5,61
5,1,3y,f,56,HIŞMAN ÇİZİK,1.30.12,5.5,9,3,26
5,2,3y,f,56,MERT ALİ SOLMAZ,1.31.63,2.2,60,1,35
5,3,3y,f,56,MUSTAFA KEMAL KUMBASAR,1.31.76,9.85,5,5,25
5,4,3y,m,55,MEHMET NURİ SUNKAR,1.32.05,6.1,5,6,38
5,5,3y,m,58,MÜSLÜM ÇELİK,1.32.12,4.35,7,4,13
5,6,3y,m,56,AZİZ AKDEMİR,1.32.16,4.0,13,2,28
6,1,4y,m,56,AHMET ÇELİK,1.38.13,1.6,29,1,77
6,2,5y,m,61,HIŞMAN ÇİZİK,1.38.21,1.6,20,1,81
6,3,7y,m,62,AZİZ AKDEMİR,1.38.25,5.95,12,4,85
6,4,7y,m,55,MÜSLÜM ÇELİK,1.39.38,6.9,12,3,70
6,5,8y,m,57,MEHMET AKYAVUZ,1.39.78,7.7,6,5,73
6,6,6y,m,60,MEHMET NURİ SUNKAR,1.40.29,4.25,18,2,84
6,7,5y,m,55,MERT ALİ SOLMAZ,1.42.69,23.4,3,6,70
1,1,4y,m,54,MEHMET SALİH ÇELİK,1.29.73,1.4,0,0,68
1,2,4y,f,51,CEMAL PASO,1.29.74,5.35,0,0,55
1,3,4y,m,54,GÖKHAN YILDIZ,1.31.24,2.55,0,0,75
1,4,4y,m,54,MUSTAFA ÇİÇEK,1.32.51,5.35,0,0,67
1,5,4y,m,55,SİNAN ÖZEN,1.33.58,23.05,0,0,34
2,1,3y,f,59,ERHAN AKTUĞ,1.27.18,2.05,0,0,37
2,2,3y,m,59,SİNAN ÖZEN,1.27.92,11.1,0,0,37
2,3,3y,m,54,ERKAN TUNÇ,1.28.05,16.4,0,0,28
2,4,3y,f,60,HALEF KATI,1.28.22,2.95,0,0,39
2,5,3y,m,55,İSMAİL YILDIRIM,1.28.72,3.1,0,0,31
2,6,3y,f,55,HÜSEYİN ŞİMŞEK,1.29.06,24.3,0,0,29
3,1,4y,m,62,AKIN SÖZEN,1.43.60,2.6,30,1,88
3,2,4y,m,50,ERAY ÇİZİK,1.44.25,2.45,24,2,61
3,3,6y,f,60,İSMAİL YILDIRIM,1.44.43,7.55,13,3,85
3,4,6y,m,57,GÖRKEM ÖZÇELİK,1.44.49,8.75,10,5,74
3,5,4y,m,51,ONUR ATMACA,1.44.65,5.75,11,4,66
3,6,7y,m,55,ERHAN AKTUĞ,1.45.22,18.95,6,7,69
3,7,4y,m,50,GÖKHAN YILDIZ,1.45.52,13.4,6,6,61
4,1,4y,f,54,EREN DURSUN ÖKTEN,1.40.72,13.65,4,7,26
4,2,4y,f,58,MEHMET SALİH ÇELİK,1.42.26,1.9,35,1,31
4,3,4y,f,58,NİHAT BAYDAN,1.42.47,2.5,22,2,40
4,4,4y,f,56,CEMAL PASO,1.42.73,23.05,5,6,23
4,5,4y,f,56,SERKAN YILDIZ,1.42.93,10.65,13,4,30
4,6,4y,f,58,ONUR ÖZTÜRK,1.43.77,6.55,15,3,21
4,7,4y,f,58,SİNAN ÖZEN,1.45.41,16.3,5,5,18
5,1,5y,m,56,AKIN SÖZEN,1.37.44,2.0,33,1,89
5,2,6y,m,56,MUSTAFA ÇİÇEK,1.37.79,2.35,29,2,88
5,3,6y,f,55,GÖRKEM ÖZÇELİK,1.37.83,3.9,23,3,93
5,4,5y,f,54,VELAT DEMİR,1.39.25,22.05,4,6,66
5,5,6y,m,54,SERKAN YILDIZ,1.39.40,19.1,6,4,58
5,6,4y,m,54,UĞUR TEMUR,1.45.24,15.65,5,5,37
6,1,3y,f,54,ERHAN AKTUĞ,1.27.41,3.25,20,2,42
6,2,3y,m,58,UĞUR TEMUR,1.27.63,1.5,55,1,52
6,3,3y,f,56,NURETTİN ŞEN,1.31.08,6.55,12,3,41
6,4,3y,f,56,VELAT DEMİR,1.31.12,20.15,4,5,36
6,5,3y,f,58,MAHSUN DEMİRBAŞ,1.31.54,10.1,6,4,50
6,6,3y,m,57,İSA YILDIRIM,1.31.63,16.0,3,6,42
7,1,4y,f,58,AKIN SÖZEN,1.39.75,2.9,30,2,35
7,2,4y,f,58,UĞUR TEMUR,1.41.23,1.45,46,1,36
7,3,4y,f,58,CANER TEPE,1.42.68,8.65,9,3,0
7,4,4y,f,58,HALEF KATI,1.42.91,17.35,5,4,26
7,5,4y,f,56,SERKAN YILDIZ,1.43.04,21.0,3,6,27
7,6,4y,f,58,VELAT DEMİR,1.49.35,29.6,1,7,25
7,7,4y,f,58,ONUR ÖZTÜRK,1.49.89,17.55,4,5,0
8,1,7y,m,56,MUSTAFA ÇİÇEK,1.30.26,2.7,23,1,94
8,2,6y,m,56,MAHSUN DEMİRBAŞ,1.30.29,7.2,9,4,58
8,3,4y,f,55,NURETTİN ŞEN,1.31.07,20.9,3,7,37
8,4,5y,m,57,AKIN SÖZEN,1.31.14,3.2,19,2,86
8,5,4y,m,55,İSMAİL YILDIRIM,1.31.61,9.45,8,5,62
8,6,4y,m,58,GÖRKEM ÖZÇELİK,1.32.02,10.7,7,6,58
8,7,4y,m,55,MEHMET SALİH ÇELİK,1.32.03,5.25,11,3,63
8,8,5y,m,56,UĞUR TEMUR,1.32.22,5.25,2,3,68
8,9,4y,m,55,SİNAN ÖZEN,1.33.37,40.7,1,9,26
8,10,5y,f,55,CEMAL PASO,1.35.09,75.3,1,11,33
8,11,4y,m,55,GÖKHAN YILDIZ,1.36.18,68.45,1,10,0
8,12,4y,m,56,ARİF OKAN PAZAR,1.37.59,36.65,2,8,37
1,1,3y,m,56,HIŞMAN ÇİZİK,1.33.08,2.15,0,0,50
1,2,3y,m,57,ADEM CEYLAN,1.33.18,2.8,0,0,54
1,3,3y,m,60,AHMET ÇELİK,1.33.56,2.3,0,0,54
1,4,3y,m,56,AKIN SÖZEN,1.34.23,12.55,0,0,44
2,1,4y,m,57,MERT UYAR,1.42.15,9.3,11,5,50
2,2,4y,m,55,AKIN SÖZEN,1.42.34,1.75,24,1,40
2,3,4y,f,55,MEHMET KAYA,1.42.84,11.5,12,4,40
2,4,4y,m,56,GÖRKEM ÖZÇELİK,1.42.86,5.4,14,2,43
2,5,4y,m,54,MUSTAFA ÇİÇEK,1.43.23,12.45,12,3,39
2,6,4y,f,51,BERKAN ÇIĞLA,1.43.28,52.0,2,10,35
2,7,4y,m,55,ALİ KAÇMAZ,1.43.88,22.7,3,9,41
2,8,4y,m,56,ALİ YILDIZ,1.44.56,6.9,9,6,43
2,9,4y,m,55,AHMET ÇELİK,1.46.42,15.55,9,7,40
2,10,4y,m,54,ADEM ASLAN,1.47.14,21.6,4,8,38
3,1,4y,f,56,AKIN SÖZEN,1.11.89,7.2,14,3,57
3,2,5y,f,62,VEDAT ABİŞ,1.12.00,11.1,9,6,67
3,3,4y,f,58,ADEM CEYLAN,1.12.32,2.3,22,1,67
3,4,4y,f,51,ADEM ASLAN,1.12.33,19.4,4,9,47
3,5,4y,f,50,ALİ YILDIZ,1.12.50,6.0,10,5,36
3,6,6y,f,54,GÖRKEM ÖZÇELİK,1.12.86,7.85,11,4,52
3,7,4y,f,50,MÜCAHİT BAYIR,1.12.92,9.2,6,8,46
3,8,4y,f,54,AHMET ÇELİK,1.13.58,15.1,8,7,54
3,9,5y,f,60,BERKANT GÖKÇE,1.13.60,6.35,16,2,69
4,1,4y,m,58,HIŞMAN ÇİZİK,1.35.92,2.25,32,1,28
4,2,4y,m,58,GÖRKEM ÖZÇELİK,1.36.21,4.35,15,3,35
4,3,4y,f,52,KÜRŞAT YILMAZ,1.36.66,3.95,19,2,29
4,4,4y,f,56,MUSTAFA ÇİÇEK,1.38.07,8.05,12,5,20
4,5,4y,m,58,MEHMET KAYA,1.38.72,6.65,13,4,22
4,6,4y,f,52,GÖKTAN KAYIP,1.40.37,43.0,1,9,23
4,7,4y,f,54,SERKAN YILDIZ,1.45.31,73.5,1,10,13
4,8,4y,f,56,ALİ KAÇMAZ,1.45.70,38.2,2,7,19
4,9,4y,f,56,ALİ YILDIZ,1.49.21,38.8,1,8,0
4,10,4y,m,54,BERKANT GÖKÇE,1.52.78,19.7,3,6,16
5,1,3y,f,60,VEDAT ABİŞ,1.11.55,2.45,20,3,54
5,2,3y,f,55,MEHMET KAYA,1.11.77,2.6,30,2,44
5,3,3y,f,58,AHMET ÇELİK,1.12.11,2.55,41,1,50
5,4,3y,f,54,ALİ KAÇMAZ,1.12.82,18.45,2,5,43
5,5,3y,f,50,MÜCAHİT BAYIR,1.13.63,40.7,1,6,21
5,6,3y,f,55,MERT UYAR,1.13.82,13.25,5,4,50
6,1,4y,m,56,AHMET ÇELİK,1.41.35,1.5,49,1,66
6,2,6y,m,60,BERKANT GÖKÇE,1.41.85,9.15,7,4,75
6,3,8y,f,59,ZÜLFÜKAR KARABULUT,1.41.99,19.45,3,6,69
6,4,5y,m,54,VEDAT ABİŞ,1.42.25,3.5,18,2,58
6,5,5y,m,55,MEHMET KAYA,1.42.28,8.0,10,3,60
6,6,5y,f,59,AKIN SÖZEN,1.42.93,3.5,6,2,67
6,7,5y,f,56,ADEM CEYLAN,1.47.37,28.3,2,7,68
6,8,6y,m,59,SERKAN YILDIZ,1.47.48,13.55,4,5,70
7,1,4y,f,56,AHMET ÇELİK,1.36.85,2.05,45,1,35
7,2,4y,m,58,MUSTAFA ÇİÇEK,1.37.24,5.95,13,3,25
7,3,4y,m,56,ZÜLFÜKAR KARABULUT,1.38.17,39.4,1,8,17
7,4,4y,f,56,ADEM ASLAN,1.38.26,7.0,8,4,32
7,5,4y,f,56,MEHMET KAYA,1.38.89,3.15,24,2,34
7,6,4y,f,56,ALİ YILDIZ,1.40.49,15.85,2,6,28
7,7,4y,f,56,GÖRKEM ÖZÇELİK,1.48.26,39.95,1,10,0
7,8,4y,m,58,GÖKHAN BEKTAŞ,1.50.38,41.05,1,9,0
7,9,4y,f,54,BERKANT GÖKÇE,1.54.30,19.05,3,5,28
7,10,4y,m,56,BERKAN ÇIĞLA,1.55.37,28.9,1,7,20
1,1,3y,m,54,HALİL YOLAÇICI,1.18.33,1.35,0,0,49
1,2,3y,m,58,GÖKHAN GÖKÇE,1.18.42,3.4,0,0,38
1,3,3y,m,54,BEKİR MERT MIRIK,1.18.61,4.3,0,0,37
1,4,3y,m,58,ALİ YILDIZ,1.21.11,12.7,0,0,14
2,1,4y,f,58,ERHAN AKTUĞ,1.58.59,2.15,21,1,37
2,2,4y,m,58,BEKİR MERT MIRIK,1.59.98,15.95,5,7,37
2,3,4y,m,55,ALİBERK METİN,2.01.03,12.25,13,5,37
2,4,4y,f,58,ALİCAN İNCİ,2.02.29,10.9,10,6,36
2,5,4y,m,57,MERT UYAR,2.02.61,6.25,15,4,40
2,6,4y,m,56,ENES ÜSTÜN,2.02.96,4.2,19,2,38
2,7,4y,m,57,MERTCAN AKIN,2.11.36,4.05,17,3,38
3,1,3y,f,58,BEKİR MERT MIRIK,1.33.82,4.35,14,3,0
3,2,3y,f,58,ALİCAN İNCİ,1.34.20,19.45,4,7,0
3,3,3y,f,58,ERHAN AKTUĞ,1.34.90,27.85,4,6,23
3,4,3y,f,58,MEHMET GÖNÜLTAŞ,1.35.00,2.95,30,1,32
3,5,3y,f,58,ALİ YILDIZ,1.35.10,2.35,25,2,0
3,6,3y,f,58,HÜSEYİN ŞİMŞEK,1.35.88,9.25,12,4,17
3,7,3y,f,58,GÖKHAN GÖKÇE,1.36.94,7.85,9,5,0
3,8,3y,f,54,MUHAMMED BURHAN ÖNCEL,1.37.59,41.1,2,8,0
