race_date,race_no,horse_age,f,m,jockey_weight,HÜSEYİN TURAN,ALİ KAÇMAZ,MURAT AKDAĞ,AHMET ÇELİK,YUNUS ÇELİKBAŞ,BERKANT GÖKÇE,ÇETİN CANPOLAT,TOLGA YILMAZ,SEZER ÇELİK,EMRE AKKILIÇ,YUSUF CENGİZ,DENİZ BUDAK,FURKAN KARAKURT,ERHAN AKKAYA,RAMAZAN BAYRAM,BERKAY BÜLBÜL,MEHMET AKYAVUZ,BURHAN SARIDAL,HÜSEYİN ŞANLI,CEM YILMAZ,MAHMUT TURAN,FESİH ÇETİNBAŞ,FATİH SULTAN MEHMET SANSAR,AYHAN KURŞUN,NİHAT BAYDAN,CANER YILDIRIM,ÇETİN OK,CEM ALTUN,MENNAN BAL,NURETTİN ŞEN,FERİT YARDIMCI,ENES BOZDAĞ,ULAŞ KICI,NECMİ ALTIN,AHMET EFEKAN ELMAS,SELİM İPEK,MAHSUN DEMİRBAŞ,ADEM CEYLAN,FEYZULLAH AVCI,SALİH ÇELİK,ONUR YILDIZ,HALİL KAPLAN,EFE KORKMAZ,HALİL POLAT,ALİBERK METİN,EFE CAN ÖZMÜŞ,MEHMET KESKİN,MERTCAN ÇELİK,ALİCAN İNCİ,EREN KADİRLER,MÜRSEL KAYİŞ,İBRAHİM SEFA SÖĞÜT,RAHMİ CANPOLAT,EMRULLAH TEPE,MEHMET KAYA,SADIK ALTAY,HALİL ALTIN,RECEP KETME,BURAK BEKTAŞ,İSMAİL YILDIRIM,MAHMUT BAĞ,MUSTAFA MANAV,VEDAT ABİŞ,GÖKHAN BEKTAŞ,GÖRKEM ÖZÇELİK,MUSA DEMİR,HİKMET SARIDAL,MEHMET PARLAK,EMİRCAN AVŞAR,BERAT AYSEN,MERT UYAR,REMZİ DOĞAN,MUSTAFA KEMAL KUMBASAR,ZAFER DEMİR,MAHMUT ÜNLÜ,ONUR ATMACA,ADEM ASLAN,MERT ALİ SOLMAZ,MUSTAFA ÇİÇEK,AKIN SÖZEN,TUNA SEBİCİ,ÖMER FARUK ÖZEN,CANER TEPE,MUHAMMED MİR BİLGİN,İSMAİL GÜN,MEHMET GÖNÜLTAŞ,UĞUR TEMUR,KADİR DEMİREL,SERKAN YILDIZ,ARİF OKAN PAZAR,SERCAN TIRPAN,FURKAN ÇETİN,GÖKTAN KAYIP,BERKAN ÇIĞLA,TOLGA YILDIZ,CUMALİ ARDA MAYDA,MÜSLÜM ÇELİK,SİNAN AKŞIN,SİNAN ÖZEN,BURHAN KILINÇ,ENES ÜSTÜN,OĞUZ EREN,ÇAĞLAR TAŞCI,FURKAN ÇELİK,SAMİ KAPLAN,AHMET HASAN BAYAR,MUHAMMED BARAN ÇAKMAK,MÜCAHİT BAYIR,ÖZCAN YILDIRIM,HASAN ALTUNDAĞ,İSA AKYAVUZ,MENDERES AVŞAR,İZETTİN GÜREKE,SADETTİN ULUTAŞ,ALİ MEHDİ ALTIN,ERCAN ÇANKAYA,BEKİR MERT MIRIK,ERKAN TUNÇ,ÖZGÜR ORDU,FATİH RÜSTEM BEBEK,HAKAN YILDIZ,MAHSUN TURAN,ONUR YILMAZ,İLKER AKIN,ALİ ŞENBAHAR,HALİM YİĞİT ÜNVER,NEVZAT AVCİ,MEHMET DOĞAN,MERTCAN AKIN,HÜSEYİN ALTUNKILIÇ,KÜRŞAT YILMAZ,MEHMET NURİ SUNKAR,MURAT KEÇECİ,MELİH TAŞKIN,AHMET ARSLAN,İSMAİL DİNAR,ABDULLAH ÇANKAYA,YUNUS EMRE YÜKSEL,FURKAN HİM,HIŞMAN ÇİZİK,GÖKHAN GÖKÇE,TUGAY ALICI,HALEF KATI,DENİZ YILDIZ,GÖKHAN YILDIZ,BURAK AKÇAY,OKAN İNCE,MUHAMMET ÖZDEMİR,MEHMET KIYAK,MUHAMMED BURHAN ÖNCEL,CEMAL PASO,EFE AKPINAR,MUHARREM OK,EREN DURSUN ÖKTEN,MEHMET ŞAKİR,YUNUS YALVAN,MEHMET SALİH ÇELİK,MAZLUM PİR DEMİR,SADETTİN BOYRAZ,AZİZ AKDEMİR,OKAN GÖKÇE,MEHMET EMİN DOĞAN,LEVENT TAPTIK,ALİ YILDIZ,ERTUĞRUL CANKILIÇ,HÜSEYİN ŞİMŞEK,NİZAMETTİN DEMİR,ERAY ÇİZİK,ŞEYHMUS GEZGİNCİ,ONUR ÖZTÜRK,ERHAN AKTUĞ,FIRAT ARSLAN,HALİL YOLAÇICI,MERT GÖKALP ARSLAN,İLKER SOYAD,ZÜLFÜKAR KARABULUT,METE GÖL,VELAT DEMİR,MEHMET ALİ AKGÖBEK,FETHULLAH FELHAN,SELÇUK AKBULAT,KAANCAN GÖKÇE,OSMAN AÇAR,MEHMET ALİ AKTÜRK,İSA YILDIRIM,İSA KATAR,METİN MERT KARABULUT,HALİT GÖKÇE,KADİR TOKAÇOĞLU,finish_time,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
1,2,0.125,0,1,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1159155393224962,0.19994581414250887,0.023529411764705882,0.4444444444444444,0.0
1,2,0.125,0,1,0.4666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12212625209662502,0.11324844215659713,0.023529411764705882,0.3333333333333333,0.1
1,2,0.125,0,1,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1223488470521844,0.014630181522622597,0.25882352941176473,0.1111111111111111,0.33636363636363636
1,3,0.0,1,0,0.4666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188171115953161,0.004334868599295585,0.3058823529411765,0.1111111111111111,0.37272727272727274
1,3,0.0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018845327857288416,0.026280140883229483,0.058823529411764705,0.16666666666666666,0.36363636363636365
1,3,0.0,1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022011819478626182,0.0812787862367922,0.023529411764705882,0.2222222222222222,0.2
1,3,0.0,1,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028156694308152933,0.11920888648062856,0.011764705882352941,0.2777777777777778,0.0
1,4,0.25,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225629771291521,0.01733947439718234,0.2,0.16666666666666666,0.7727272727272727
1,4,0.625,1,0,0.4666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22563917671217845,0.010566242210782987,0.32941176470588235,0.05555555555555555,0.8636363636363636
1,4,0.5,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22583042026554637,0.07315090761311298,0.07058823529411765,0.3888888888888889,0.7636363636363637
